Surname,Count,Nationality
Veeranna,1493,Indian
Chahal,1449,Indian
Sahai,838,Indian
Rakhletzky,794,Russian
Gassiy,701,Russian
Mencher,658,Polish
Ruhlyada,383,Russian
Wasem,343,Arabic
Niemec,337,Polish
Dubatolov,329,Russian
Gniewek,323,Polish
Malouf,216,Arabic
Golani,201,Indian
Stawski,188,Polish
Winogrodzki,160,Polish
Koury,154,Arabic
Yakushkin,138,Russian
Uppal,126,Indian
Jvirblis,126,Russian
Pimparkar,120,Indian
Darevsky,114,Russian
Botros,112,Arabic
Pakulski,112,Polish
Kaczka,104,Polish
Jupikov,95,Russian
Rusnak,90,Polish
Atanasyan,85,Russian
Bhargav,78,Indian
Jakushev,77,Russian
Ryzhankov,74,Russian
Esmansky,69,Russian
Naifeh,62,Arabic
Anikushin,58,Russian
Ullal,57,Indian
Tagore,53,Indian
Zhohin,53,Russian
Astrahankin,51,Russian
Mokrinsky,48,Russian
Haladzhan,46,Russian
Rahal,46,Arabic
Zabek,44,Polish
Hadas,44,Indian
Danyarov,44,Russian
Talari,43,Indian
Chlebek,41,Polish
Sokal,40,Polish
Chmiel,39,Polish
Wojewódzki,38,Polish
Vyas,38,Indian
Thakran,37,Indian
Muttemwar,37,Indian
Tannous,35,Arabic
Broż,33,Polish
Nader,33,Arabic
Winograd,29,Polish
Chakravarthy,28,Indian
Bakikhanov,27,Russian
Touma,27,Arabic
Baweja,27,Indian
Guirguis,27,Arabic
Wyrzyk,25,Polish
Zaantye,25,Indian
Saliba,24,Arabic
Lupichev,23,Russian
Abboud,22,Arabic
Gribanovsky,22,Russian
Mollo,22,Russian
Vaze,21,Indian
Grigorchikov,21,Russian
Dubanowski,20,Polish
Ślusarski,20,Polish
Jaskulski,20,Polish
Hanania,19,Arabic
Guldreih,18,Russian
Paul,17,Indian
Bernard,17,Polish
Gulevsky,17,Russian
Durylin,16,Russian
Alkov,16,Russian
Glezarov,15,Russian
Mansour,14,Arabic
Lallad,14,Indian
Krakowski,13,Polish
Gwozdek,13,Polish
Kaluza,13,Polish
Yudovich,13,Russian
Asfour,12,Arabic
Klimek,12,Polish
Agadjanyan,12,Russian
Guzenkov,12,Russian
Tanti,11,Indian
Siripurapu,11,Indian
Górski,11,Polish
Atri,11,Indian
Beh,11,Russian
Sokolowski,10,Polish
Horoshavtsev,9,Russian
Abadi,9,Arabic
Adamczyk,9,Polish
Sówka,9,Polish
Najjar,9,Arabic
Kathiriya,9,Indian
Bakhturin,8,Russian
Majumdar,8,Indian
Turkin,8,Russian
Kamiński,8,Polish
Budny,8,Polish
Gera,8,Indian
Halabi,8,Arabic
Stolarz,8,Polish
Udyavar,8,Indian
Shamoun,8,Arabic
Zhigalin,8,Russian
Zhegin,7,Russian
Ellams,7,English
Das,7,Indian
Yaikbaev,7,Russian
Horanov,7,Russian
Robustov,7,Russian
Hatskevich,7,Russian
Shalhoub,7,Arabic
Tchapko,6,Russian
Jadkevich,6,Russian
"Doifode, doiphode",6,Indian
Shamon,6,Arabic
Tijori,6,Indian
Abulmambetoff,6,Russian
Malinowski,6,Polish
Piontek,6,Polish
Andreevsky,6,Russian
Maslanka,6,Polish
Lokhande,6,Indian
Jahaev,6,Russian
Amin,6,Indian
Samaha,6,Arabic
Parekh,6,Indian
Pokhlebkin,6,Russian
Sarkis,5,Arabic
Kalb,5,Arabic
Zogby,5,Arabic
Murtazin,5,Russian
Arian,5,Arabic
Starek,5,Polish
Kurup,5,Indian
Zheludev,5,Russian
Yakobson,5,Russian
Filipek,5,Polish
Dashmunshi,5,Indian
Daher,5,Arabic
Warsi,5,Indian
Wadhva,5,Indian
"Kundra, kunder",5,Indian
Pandya,5,Indian
Gowda,5,Indian
Andryukov,4,Russian
Abrosimov,4,Russian
Bakurov,4,Russian
Watane,4,Indian
Gomolka,4,Polish
Omkareshwar,4,Indian
Venkat,4,Indian
Hadad,4,Arabic
Adonts,4,Russian
Chaurasiya,4,Indian
Indulkar,4,Indian
Chekhladze,4,Russian
Haddad,4,Arabic
Somayajulu,4,Indian
Cham,4,Arabic
Gukovsky,4,Russian
Dubicki,4,Polish
Grotus,4,Russian
Haidurov,4,Russian
Absalyamov,4,Russian
Kanojiya,4,Indian
Yanibekov,4,Russian
Jekulin,4,Russian
Kassis,4,Arabic
Auttenberg,4,Polish
Boutros,4,Arabic
Bakunoff,3,Russian
Attal,3,Indian
Ranawat,3,Indian
Chopra,3,Indian
Ilyutenko,3,Russian
Adamczak,3,Polish
D'Arcy,3,English
Saksagansky,3,Russian
Davydchenko,3,Russian
Habibulaev,3,Russian
Antar,3,Arabic
Mikhail,3,Arabic
Baburin,3,Russian
Maroun,3,Arabic
Zhivkovich,3,Russian
Gopalan,3,Indian
Rudawski,3,Polish
Zaskanov,3,Russian
Mande,3,Indian
Bestujev-ryumin,3,Russian
Chalovsky,3,Russian
Gribanov,3,Russian
Andruhovich,3,Russian
Rikhter,3,Russian
Jaskolski,3,Polish
Vasudevan,3,Indian
Gau,3,Russian
Sahastrabuddhe,3,Indian
Ryjko,3,Russian
Shalabanov,3,Russian
Agoev,3,Russian
Troinitsky,3,Russian
Lis,3,Polish
Pazi,3,Russian
Jagtap,3,Indian
Kuchibhotla,3,Indian
Raykantiwar,3,Indian
Mundi,3,Indian
Zdunowski,3,Polish
Ślusarczyk,3,Polish
Szewc,3,Polish
Ashley,2,English
Lagadapati,2,Indian
Jez,2,Polish
Spence,2,English
Wojewódka,2,Polish
Bachmanoff,2,Russian
Zhigun,2,Russian
Mule,2,Indian
Tejwani,2,Indian
Jakimychev,2,Russian
Amari,2,Arabic
Ganim,2,Arabic
Bairamukov,2,Russian
Denisov,2,Russian
Harode,2,Indian
Tsalaban,2,Russian
Schepin,2,Russian
Peltsman,2,Russian
Marholenko,2,Russian
Sitko,2,Polish
Altshuller,2,Russian
Zate,2,Indian
Kalachov,2,Russian
Ramachandran,2,Indian
Awalishwili,2,Russian
Wronski,2,Polish
Sandhu,2,Indian
Vindman,2,Russian
Sarda,2,Indian
Grosfeld,2,Russian
Miheev,2,Russian
Neverovsky,2,Russian
Chuhman,2,Russian
Uchitel,2,Russian
Dharashiokar,2,Indian
Bestuzhev,2,Russian
Babbar,2,Indian
Emelianov,2,Russian
Hardas,2,Indian
Eihe,2,Russian
Mozdzierz,2,Polish
Ingle,2,Indian
Bobienski,2,Polish
Gerasimovsky,2,Russian
Atiyeh,2,Arabic
Zavorin,2,Russian
Shalavin,2,Russian
Sobol,2,Polish
Barua,2,Indian
Fabrikant,2,Russian
Bahtiev,2,Russian
Nischol,2,Indian
Tope,2,Indian
Belotserkovets,2,Russian
Pismichenko,2,Russian
Baitoff,2,Russian
Lezhankin,2,Russian
Timashov,2,Russian
Gorchakovsky,2,Russian
Essa,2,Arabic
Mendon,2,Indian
Vakulsky,2,Russian
Szweda,2,Polish
Jha,2,Indian
Piatek,2,Polish
Koziol,2,Polish
Sleiman,2,Arabic
Kaloshin,2,Russian
Sachan,2,Indian
Czajka,2,Polish
Granikov,2,Russian
Rutman,2,Russian
Ślązak,2,Polish
Awdyunin,2,Russian
Kottarakkara,2,Indian
Gorskov,2,Russian
Rahov,2,Russian
Hagavane,2,Indian
Chauhan,2,Indian
Kukkar,2,Indian
Sekhri,2,Indian
Zhilov,2,Russian
Halyapin,2,Russian
Huranov,2,Russian
Gaganov,2,Russian
Yagudin,2,Russian
Velichansky,2,Russian
Bukoski,2,Polish
Khoury,2,Arabic
Said,2,Arabic
Kozlow,1,Polish
Ghannam,1,Arabic
Swarup,1,Indian
Janda,1,Polish
Vyborov,1,Russian
Gaber,1,Arabic
Vij,1,Indian
Rawat,1,Indian
Slaski,1,Polish
Bakshi,1,Indian
Ebralidze,1,Russian
Katsepov,1,Russian
Sabbagh,1,Arabic
Tak,1,Indian
Tamarchenko,1,Russian
Bagmewski,1,Russian
Tahil,1,Indian
Matsuev,1,Russian
Toshniwal,1,Indian
Poogelman,1,Russian
Unhale,1,Indian
Lojchenko,1,Russian
Adams,1,English
Sienkiewicz,1,Polish
Elesin,1,Russian
Beilis,1,Russian
Pandher,1,Indian
Kale,1,Indian
Anuriev,1,Russian
Lupehin,1,Russian
Skala,1,Polish
Janowski,1,Polish
Rempler,1,Russian
Mikheenkov,1,Russian
Ens,1,Russian
Yatzyk,1,Russian
Bartosz,1,Polish
Bazyuta,1,Russian
Pasternack,1,Polish
Vilgelminin,1,Russian
Bora,1,Indian
Shelyakin,1,Russian
Versan,1,Russian
Horkin,1,Russian
Paling,1,English
Mstislavets,1,Russian
Khandelwal,1,Indian
Czajkowski,1,Polish
Lichkus,1,Russian
Jikov,1,Russian
Zhiharevitch,1,Russian
Lote,1,Indian
Mukke,1,Russian
Harb,1,Arabic
Dhameja,1,Indian
Malhotra,1,Indian
Abzyaparov,1,Russian
Dovjuk,1,Russian
Awrorin,1,Russian
Dhar,1,Indian
Luthra,1,Indian
Khanolkar,1,Indian
Atwal,1,Indian
Kadam,1,Indian
Tempalli,1,Indian
Atre,1,Indian
Wazalwar,1,Indian
Sawji,1,Indian
Vaghela,1,Indian
Prasad,1,Indian
Wanjare,1,Indian
Lad,1,Indian
Mohit,1,Indian
Arya,1,Indian
Valecha,1,Indian
Mashelkar,1,Indian
Rungta,1,Indian
Kansal,1,Indian
Dikshit,1,Indian
Ahuja,1,Indian
Shah,1,Indian
Shelting,1,Russian
Portsevsky,1,Russian
Kalinov,1,Russian
Zhukov,1,Russian
Fistal,1,Russian
Tomeev,1,Russian
Ruzhnikov,1,Russian
Ustilovsky,1,Russian
Avanesov,1,Russian
Nosach,1,Russian
Abylgaziev,1,Russian
Tchekhlakovsky,1,Russian
Badyagin,1,Russian
Gachinsky,1,Russian
Mihalkov,1,Russian
Gulidov,1,Russian
Ryjkin,1,Russian
Yakhimovich,1,Russian
Liverovsky,1,Russian
Gramenitsky,1,Russian
Badyin,1,Russian
Ilyakhin,1,Russian
Baram,1,Russian
Rzhavinsky,1,Russian
Yudkovich,1,Russian
Zhurbin,1,Russian
Kachainik,1,Russian
Zihanov,1,Russian
Jakimchuk,1,Russian
Groisman,1,Russian
Pahalchuk,1,Russian
Hijny,1,Russian
Alytsky,1,Russian
Mokhnatkin,1,Russian
Tikhy,1,Russian
Tsalko,1,Russian
Tseiner,1,Russian
Marek,1,Polish
Paszek,1,Polish
Król,1,Polish
Sarraf,1,Arabic
Tahan,1,Arabic
Assaf,1,Arabic
Salib,1,Arabic
Baz,1,Arabic
Sayegh,1,Arabic
