Surname,Count,Nationality
Chahal,1401,Indian
Veeranna,1361,Indian
Sahai,749,Indian
Rakhletzky,729,Russian
Gassiy,612,Russian
Mencher,602,Polish
Dubatolov,336,Russian
Gniewek,328,Polish
Ruhlyada,321,Russian
Wasem,265,Arabic
Niemec,256,Polish
Golani,210,Indian
Malouf,199,Arabic
Stawski,196,Polish
Koury,155,Arabic
Winogrodzki,153,Polish
Atanasyan,126,Russian
Pakulski,126,Polish
Jvirblis,121,Russian
Kaczka,109,Polish
Darevsky,104,Russian
Yakushkin,102,Russian
Botros,98,Arabic
Pimparkar,96,Indian
Bhargav,90,Indian
Rusnak,87,Polish
Uppal,75,Indian
Anikushin,71,Russian
Esmansky,70,Russian
Astrahankin,65,Russian
Jupikov,65,Russian
Tagore,59,Indian
Danyarov,54,Russian
Naifeh,53,Arabic
Rahal,52,Arabic
Ullal,47,Indian
Mokrinsky,45,Russian
Muttemwar,45,Indian
Zhohin,45,Russian
Sokal,45,Polish
Ryzhankov,45,Russian
Talari,43,Indian
Hadas,40,Indian
Wojewódzki,37,Polish
Jakushev,37,Russian
Zabek,36,Polish
Haladzhan,35,Russian
Vyas,34,Indian
Chlebek,34,Polish
Nader,31,Arabic
Tannous,30,Arabic
Thakran,30,Indian
Chmiel,28,Polish
Hanania,28,Arabic
Touma,26,Arabic
Winograd,25,Polish
Ślusarski,23,Polish
Bakikhanov,23,Russian
Gera,22,Indian
Dubanowski,22,Polish
Guldreih,21,Russian
Abboud,19,Arabic
Asfour,18,Arabic
Kathiriya,18,Indian
Paul,18,Indian
Yudovich,18,Russian
Saliba,17,Arabic
Durylin,17,Russian
Najjar,17,Arabic
Jaskulski,17,Polish
Shamon,17,Arabic
Adamczyk,16,Polish
Broż,15,Polish
Lupichev,15,Russian
Malinowski,14,Polish
Saksagansky,14,Russian
Majumdar,14,Indian
Zaantye,13,Indian
Mansour,13,Arabic
Shendel,13,Russian
Gulevsky,13,Russian
Kaluza,12,Polish
Tijori,12,Indian
Lokhande,11,Indian
Wyrzyk,11,Polish
Glezarov,11,Russian
Guirguis,11,Arabic
Daher,10,Arabic
Shalavin,10,Russian
Filipek,10,Polish
Mollo,10,Russian
Lallad,9,Indian
Zdunowski,9,Polish
Bernard,9,Polish
Grigorchikov,9,Russian
Siripurapu,9,Indian
Bukoski,9,Polish
Vaze,9,Indian
Chakravarthy,9,Indian
Jekulin,8,Russian
Watane,8,Indian
Sarkis,8,Arabic
Eihe,7,Russian
Baburin,7,Russian
Zheludev,7,Russian
Atri,7,Indian
Arian,7,Arabic
Skala,7,Polish
