Surname,Count,Nationality
Chahal,1213,Indian
Veeranna,1175,Indian
Sahai,690,Indian
Rakhletzky,625,Russian
Gassiy,591,Russian
Mencher,569,Polish
Ruhlyada,295,Russian
Gniewek,291,Polish
Wasem,281,Arabic
Dubatolov,256,Russian
Niemec,246,Polish
Malouf,187,Arabic
Golani,171,Indian
Stawski,153,Polish
Winogrodzki,134,Polish
Darevsky,128,Russian
Yakushkin,117,Russian
Koury,113,Arabic
Jvirblis,105,Russian
Pakulski,102,Polish
Pimparkar,100,Indian
Uppal,82,Indian
Botros,79,Arabic
Kaczka,73,Polish
Rusnak,69,Polish
Esmansky,62,Russian
Jupikov,59,Russian
Ryzhankov,58,Russian
Naifeh,55,Arabic
Atanasyan,55,Russian
Zhohin,55,Russian
Anikushin,54,Russian
Astrahankin,54,Russian
Bhargav,51,Indian
Mokrinsky,48,Russian
Haladzhan,46,Russian
Zabek,46,Polish
Hadas,46,Indian
Jakushev,44,Russian
Jones,44,English
Ullal,43,Indian
Nader,42,Arabic
Rahal,42,Arabic
Danyarov,39,Russian
Tagore,39,Indian
Smith,36,English
Muttemwar,36,Indian
Talari,32,Indian
Chmiel,31,Polish
Sokal,30,Polish
Williams,30,English
Tannous,28,Arabic
Mansour,27,Arabic
Wojewódzki,25,Polish
Jaskulski,24,Polish
Vyas,24,Indian
Chlebek,23,Polish
Touma,23,Arabic
Davies,23,English
Evans,23,English
Hughes,23,English
Winograd,23,Polish
Thakran,22,Indian
Hanania,22,Arabic
Lokhande,21,Indian
Roberts,21,English
Paul,20,Indian
Chakravarthy,19,Indian
Dubanowski,19,Polish
Brown,19,English
Abboud,18,Arabic
Bakikhanov,18,Russian
Vaze,18,Indian
Broż,17,Polish
Lupichev,17,Russian
Shamon,17,Arabic
Taylor,17,English
Johnson,17,English
Majumdar,17,Indian
Wood,16,English
Zaskanov,16,Russian
Clark,16,English
Baweja,15,Indian
Gulevsky,15,Russian
Hartley,14,English
Turner,14,English
Asfour,14,Arabic
Adamczyk,14,Polish
Zaantye,14,Indian
Rogers,14,English
Morris,13,English
Lewis,13,English
Jackson,13,English
Durylin,13,Russian
Glezarov,13,Russian
Day,12,English
Mollo,12,Russian
Marshall,12,English
Holmes,12,English
Sanders,12,English
Ireland,12,English
Walker,12,English
Wilson,11,English
Thomas,11,English
Gera,11,Indian
Jahaev,11,Russian
Ślusarski,11,Polish
Parsons,10,English
Halabi,10,Arabic
Najjar,10,Arabic
Robinson,10,English
Harris,10,English
Thompson,10,English
Pokhlebkin,10,Russian
Gribanovsky,10,Russian
Yudovich,10,Russian
Guirguis,10,Arabic
Price,9,English
Young,9,English
Edwards,9,English
Hall,9,English
Gwozdek,9,Polish
Barua,9,Indian
Cox,9,English
Dean,9,English
Carter,9,English
Tijori,9,Indian
Watane,9,Indian
Simpson,9,English
Guzenkov,9,Russian
Avksentiev,9,Russian
Bernard,9,Polish
Rowley,9,English
Siripurapu,9,Indian
Lee,8,English
Budny,8,Polish
Adams,8,English
Lallad,8,Indian
Bennett,8,English
Dyer,8,English
Martin,8,English
Phillips,8,English
Wright,8,English
Thornton,8,English
Morley,8,English
Whitaker,8,English
Richardson,8,English
Gomolka,8,Polish
Alkov,8,Russian
Barnard,8,English
Mason,8,English
Scott,8,English
Shamoun,8,Arabic
Guldreih,8,Russian
Kent,8,English
Stone,8,English
Burton,8,English
Webb,8,English
Khouri,8,Arabic
Assaf,8,Arabic
Singleton,7,English
Harding,7,English
Collins,7,English
Parkinson,7,English
Houghton,7,English
Hudson,7,English
Barber,7,English
Eastwood,7,English
Davis,7,English
Barker,7,English
Beh,7,Russian
Green,7,English
Grigorchikov,7,Russian
Grimshaw,7,English
Bentley,7,English
Ward,7,English
Moss,7,English
Webber,7,English
Saliba,7,Arabic
Baburin,7,Russian
Baxter,6,English
Gordon,6,English
Allen,6,English
Parker,6,English
Elliott,6,English
Macintosh,6,English
Stacey,6,English
Lomas,6,English
Wells,6,English
Malinowski,6,Polish
Kathiriya,6,Indian
Burrows,6,English
Cole,6,English
Heath,6,English
Earles,6,English
Procter,6,English
Russell,6,English
Lambert,6,English
Klimek,6,Polish
Gibbs,6,English
Jeans,6,English
Moriarty,6,English
Newman,6,English
Hampton,6,English
Clarke,6,English
Lord,6,English
Burgess,6,English
Fletcher,6,English
Sówka,6,Polish
Andrews,6,English
Saksagansky,6,Russian
Sparkes,6,English
Holder,6,English
Bradbury,6,English
Godwin,6,English
Wyrzyk,6,Polish
Porter,6,English
