Surname,Count,Nationality
Veeranna,1445,Indian
Chahal,1376,Indian
Sahai,728,Indian
Rakhletzky,705,Russian
Gassiy,624,Russian
Mencher,610,Polish
Ruhlyada,359,Russian
Wasem,315,Arabic
Niemec,315,Polish
Gniewek,308,Polish
Dubatolov,264,Russian
Malouf,217,Arabic
Golani,189,Indian
Stawski,176,Polish
Winogrodzki,160,Polish
Koury,156,Arabic
Darevsky,146,Russian
Yakushkin,134,Russian
Pakulski,115,Polish
Pimparkar,113,Indian
Rusnak,108,Polish
Uppal,107,Indian
Kaczka,106,Polish
Jvirblis,106,Russian
Botros,91,Arabic
Atanasyan,81,Russian
Jupikov,74,Russian
Bhargav,68,Indian
Zhohin,67,Russian
Naifeh,60,Arabic
Tagore,59,Indian
Ullal,59,Indian
Anikushin,58,Russian
Ryzhankov,57,Russian
Haladzhan,54,Russian
Danyarov,54,Russian
Astrahankin,54,Russian
Esmansky,52,Russian
Sokal,52,Polish
Nader,51,Arabic
Talari,48,Indian
Tannous,43,Arabic
Zabek,42,Polish
Rahal,41,Arabic
Mokrinsky,38,Russian
Chlebek,38,Polish
Jakushev,38,Russian
Hadas,35,Indian
Muttemwar,35,Indian
Winograd,33,Polish
Chmiel,33,Polish
Mansour,33,Arabic
Bakikhanov,32,Russian
Thakran,29,Indian
Jones,28,English
Vyas,27,Indian
Wojewódzki,26,Polish
Jaskulski,25,Polish
Ślusarski,24,Polish
Vaze,22,Indian
Lokhande,21,Indian
Touma,21,Arabic
Hanania,20,Arabic
Gulevsky,20,Russian
Dubanowski,20,Polish
Baweja,20,Indian
Shamon,20,Arabic
Lupichev,19,Russian
Hughes,19,English
Mollo,19,Russian
Tijori,18,Indian
Smith,18,English
Krakowski,18,Polish
Williams,17,English
Zaantye,17,Indian
Durylin,17,Russian
Gwozdek,16,Polish
Guirguis,16,Arabic
Majumdar,16,Indian
Grigorchikov,15,Russian
Glezarov,15,Russian
Abboud,15,Arabic
Taylor,15,English
Alkov,15,Russian
Evans,14,English
Kathiriya,14,Indian
Lallad,14,Indian
Chakravarthy,14,Indian
Broż,14,Polish
Budny,14,Polish
Paul,14,Indian
Bernard,13,Polish
Atri,13,Indian
Saksagansky,12,Russian
Jahaev,12,Russian
Saliba,12,Arabic
Gera,12,Indian
Adamczyk,12,Polish
Asfour,12,Arabic
Najjar,11,Arabic
Halabi,11,Arabic
Wyrzyk,11,Polish
Gribanovsky,10,Russian
Yudovich,10,Russian
Ślusarczyk,10,Polish
Singleton,10,English
Fairhall,10,English
Thomas,10,English
Wood,10,English
Bukoski,9,Polish
Das,9,Indian
Davis,9,English
Gribanov,9,Russian
Johnson,9,English
Guzenkov,9,Russian
Baker,9,English
Hartley,9,English
Andreevsky,9,Russian
Sówka,8,Polish
Martin,8,English
Guldreih,8,Russian
Green,8,English
Marshall,8,English
Hall,8,English
Barber,8,English
Roberts,8,English
Carter,8,English
Lavender,8,English
Robustov,8,Russian
Pokhlebkin,8,Russian
Hatskevich,8,Russian
Malinowski,8,Polish
Klimek,7,Polish
Jez,7,Polish
Hirstwood,7,English
Carr,7,English
Tanti,7,Indian
Gomolka,7,Polish
Davies,7,English
Procter,7,English
Moss,7,English
Kent,7,English
Thornton,7,English
Clark,7,English
Love,7,English
Abulmambetoff,7,Russian
Sainsbury,7,English
Cox,7,English
Baxter,7,English
Welsby,6,English
Elliott,6,English
Collins,6,English
Yakhimovich,6,Russian
Woodbridge,6,English
Thompson,6,English
Musson,6,English
Barua,6,Indian
Kurup,6,Indian
Rogers,6,English
Sanders,6,English
Dixon,6,English
Adams,6,English
Bradley,6,English
Watane,6,Indian
Buckby,6,English
Murtazin,6,Russian
Barker,6,English
Zogby,6,Arabic
Clarke,6,English
Ireland,6,English
Forward,6,English
Rance,6,English
Chandler,6,English
Whitaker,6,English
Edwards,6,English
Hooda,6,Indian
Moriarty,6,English
Arscott,6,English
Thomason,6,English
Haidurov,6,Russian
Sachan,6,Indian
Attal,6,Indian
Andruhovich,5,Russian
Richardson,5,English
Veal,5,English
Adonts,5,Russian
Brown,5,English
Jaskolski,5,Polish
Lucas,5,English
"Doifode, doiphode",5,Indian
Harris,5,English
Gibbs,5,English
Cooper,5,English
Rigby,5,English
Day,5,English
Hewett,5,English
Rhodes,5,English
Briggs,5,English
Read,5,English
Beh,5,Russian
