Surname,Count,Nationality
Veeranna,1499,Indian
Chahal,1446,Indian
Rakhletzky,774,Russian
Sahai,761,Indian
Gassiy,698,Russian
Mencher,690,Polish
Gniewek,323,Polish
Ruhlyada,307,Russian
Wasem,306,Arabic
Dubatolov,271,Russian
Niemec,249,Polish
Malouf,225,Arabic
Stawski,177,Polish
Golani,177,Indian
Yakushkin,144,Russian
Winogrodzki,139,Polish
Koury,135,Arabic
Darevsky,124,Russian
Atanasyan,119,Russian
Uppal,105,Indian
Botros,103,Arabic
Pimparkar,100,Indian
Pakulski,99,Polish
Jvirblis,99,Russian
Anikushin,97,Russian
Rusnak,77,Polish
Kaczka,75,Polish
Ryzhankov,74,Russian
Esmansky,72,Russian
Zhohin,70,Russian
Jupikov,70,Russian
Rahal,67,Arabic
Astrahankin,63,Russian
Ullal,61,Indian
Bhargav,59,Indian
Tagore,54,Indian
Sokal,54,Polish
Talari,53,Indian
Naifeh,51,Arabic
Mokrinsky,44,Russian
Zabek,43,Polish
Muttemwar,42,Indian
Wojewódzki,42,Polish
Nader,38,Arabic
Hadas,36,Indian
Danyarov,34,Russian
Jakushev,34,Russian
Chakravarthy,30,Indian
Haladzhan,30,Russian
Tannous,30,Arabic
Chmiel,27,Polish
Baweja,25,Indian
Abboud,24,Arabic
Hanania,24,Arabic
Chlebek,24,Polish
Durylin,23,Russian
Asfour,22,Arabic
Mansour,21,Arabic
Shamon,21,Arabic
Zaantye,20,Indian
Paul,20,Indian
Lupichev,20,Russian
Bakikhanov,20,Russian
Dubanowski,19,Polish
Broż,19,Polish
Thakran,19,Indian
Yudovich,19,Russian
Gera,18,Indian
Glezarov,17,Russian
Vyas,16,Indian
Jaskulski,15,Polish
Gwozdek,15,Polish
Touma,15,Arabic
Krakowski,14,Polish
Saliba,14,Arabic
Mollo,14,Russian
Gulevsky,14,Russian
Gribanovsky,14,Russian
Saksagansky,14,Russian
Malinowski,14,Polish
Ślusarski,13,Polish
Najjar,13,Arabic
Vaze,13,Indian
Lokhande,13,Indian
Jekulin,12,Russian
Winograd,12,Polish
Adamczyk,12,Polish
Majumdar,12,Indian
Kaluza,12,Polish
Das,12,Indian
Baburin,11,Russian
Halabi,11,Arabic
Alkov,11,Russian
Lallad,11,Indian
Miheev,10,Russian
Guldreih,10,Russian
Piontek,10,Polish
Stolarz,9,Polish
Sen,9,Indian
Bukoski,9,Polish
Grigorchikov,9,Russian
Said,8,Arabic
Kowalski,8,Polish
Abadi,8,Arabic
Marholenko,8,Russian
Chuhman,8,Russian
Atri,8,Indian
Ślusarczyk,8,Polish
Murtazin,8,Russian
Siripurapu,7,Indian
Andreevsky,7,Russian
Grotus,7,Russian
Tijori,7,Indian
Andruhovich,7,Russian
Adamczak,7,Polish
Guzenkov,7,Russian
Guirguis,7,Arabic
Bernard,7,Polish
Wadhawa,7,Indian
Budny,6,Polish
Rzhavinsky,6,Russian
Maroun,6,Arabic
Ryjkin,6,Russian
Turkin,6,Russian
Tanti,6,Indian
Horkin,6,Russian
Wyrzyk,6,Polish
Shamoun,6,Arabic
Gribanov,6,Russian
Assaf,6,Arabic
Shalabanov,6,Russian
Gukovsky,6,Russian
Marszałek,5,Polish
Kassis,5,Arabic
Mongia,5,Indian
Haidurov,5,Russian
Gorskov,5,Russian
Mozdzierz,5,Polish
Zheludev,5,Russian
Shalhoub,5,Arabic
Attal,5,Indian
Eihe,5,Russian
Vij,5,Indian
Maheshwari,5,Indian
Zaskanov,5,Russian
Lichkus,4,Russian
Barua,4,Indian
Sarkis,4,Arabic
Skala,4,Polish
Jez,4,Polish
Abulmambetoff,4,Russian
Gowda,4,Indian
Zhevanov,4,Russian
Baz,4,Arabic
Tempalli,4,Indian
Khouri,4,Arabic
Srivastava,4,Indian
Chepurnoy,4,Russian
Lezhankin,4,Russian
Baturov,4,Russian
Zhigalin,4,Russian
Lis,4,Polish
Sekhri,4,Indian
Andryukov,4,Russian
Kalb,4,Arabic
Sówka,4,Polish
Yaikbaev,4,Russian
Shendel,4,Russian
Khanolkar,4,Indian
Bakurov,4,Russian
Bakholdin,4,Russian
Jahaev,4,Russian
Yudkovich,4,Russian
Daher,4,Arabic
Boulos,3,Arabic
Ryjko,3,Russian
Djeladze,3,Russian
Gerasimovsky,3,Russian
Wankhede,3,Indian
Jaskolski,3,Polish
Ajnikov,3,Russian
Beh,3,Russian
Chaurasiya,3,Indian
Król,3,Polish
Faen,3,Russian
Doino,3,Russian
Sokolowski,3,Polish
Grosfeld,3,Russian
Zogby,3,Arabic
Ryjak,3,Russian
Klimek,3,Polish
Udyavar,3,Indian
Sahastrabuddhe,3,Indian
Zawisza,3,Polish
Maslanka,3,Polish
Gajos,3,Polish
Gomolka,3,Polish
Habibulaev,3,Russian
Shalavin,3,Russian
Hatskevich,3,Russian
Vilgelminin,3,Russian
Sierzant,3,Polish
Tchekhlakovsky,3,Russian
Cham,3,Arabic
Pokhlebkin,3,Russian
Likhodei,3,Russian
Vindman,2,Russian
Kamiński,2,Polish
Somayajulu,2,Indian
Marek,2,Polish
Horanov,2,Russian
Channe,2,Indian
Zate,2,Indian
Imanov,2,Russian
Starek,2,Polish
Jujlev,2,Russian
Mittal,2,Indian
Hadad,2,Arabic
Belotserkovets,2,Russian
Gorecki,2,Polish
Dzhisev,2,Russian
Bekhteev,2,Russian
Amari,2,Arabic
Yaburov,2,Russian
Gulichev,2,Russian
Mundi,2,Indian
Bestuzhev,2,Russian
Enikolopov,2,Russian
Gau,2,Russian
Davlyatov,2,Russian
Portsevsky,2,Russian
Abzyaparov,2,Russian
Agadjanyan,2,Russian
Chauhan,2,Indian
Holomeev,2,Russian
Kuchibhotla,2,Indian
Chintawar,2,Indian
Zhegin,2,Russian
Kansal,2,Indian
Bakhturin,2,Russian
Czajka,2,Polish
Davydchenko,2,Russian
Gupte,2,Indian
Tokarev,2,Russian
Bukowski,2,Polish
Tapaniya,2,Indian
Beilis,2,Russian
Bektimirov,2,Russian
Dewaikar,2,Indian
Chopra,2,Indian
Sachan,2,Indian
Kathiriya,2,Indian
Pitaevsky,2,Russian
Nazari,2,Arabic
Tseiner,2,Russian
Adonts,2,Russian
Thapar,2,Indian
Tak,2,Indian
Haesh,2,Russian
Martinson,2,Russian
Yanshin,2,Russian
Fabrikant,2,Russian
Ruhimovich,2,Russian
Jikov,2,Russian
Slaski,2,Polish
Pandhripande,2,Indian
Dashmunshi,2,Indian
Kale,2,Indian
Kosmatka,2,Polish
Wargantiwar,2,Indian
Upadhye,2,Indian
Koziol,2,Polish
Bazzi,2,Arabic
Jhathar,2,Indian
Sokolofsky,2,Polish
"Doifode, doiphode",2,Indian
Tulnikov,2,Russian
Zhukov,2,Russian
Bodhankar,2,Indian
Khopkar,2,Indian
Unhale,2,Indian
Pandher,2,Indian
Adabash,2,Russian
Baidukov,2,Russian
Teteruk,2,Russian
Shalko,2,Russian
Warszawski,2,Polish
Mifsud,2,Arabic
Arian,2,Arabic
Manak,1,Indian
Varaev,1,Russian
