Surname,Count,Nationality
Veeranna,1616,Indian
Chahal,1543,Indian
Rakhletzky,937,Russian
Sahai,854,Indian
Mencher,716,Polish
Gassiy,696,Russian
Ruhlyada,389,Russian
Wasem,338,Arabic
Gniewek,329,Polish
Niemec,313,Polish
Dubatolov,257,Russian
Malouf,241,Arabic
Golani,190,Indian
Stawski,188,Polish
Winogrodzki,184,Polish
Yakushkin,158,Russian
Koury,149,Arabic
Darevsky,138,Russian
Pakulski,129,Polish
Kaczka,123,Polish
Jvirblis,118,Russian
Atanasyan,112,Russian
Pimparkar,103,Indian
Uppal,102,Indian
Botros,90,Arabic
Rusnak,89,Polish
Esmansky,88,Russian
Ullal,86,Indian
Jupikov,82,Russian
Anikushin,81,Russian
Rahal,76,Arabic
Bhargav,70,Indian
Ryzhankov,69,Russian
Zabek,69,Polish
Nader,68,Arabic
Astrahankin,61,Russian
Talari,60,Indian
Naifeh,58,Arabic
Tagore,58,Indian
Zhohin,52,Russian
Muttemwar,50,Indian
Sokal,48,Polish
Danyarov,48,Russian
Jakushev,46,Russian
Mokrinsky,45,Russian
Chlebek,45,Polish
Haladzhan,37,Russian
Thakran,35,Indian
Jaskulski,35,Polish
Winograd,34,Polish
Hadas,30,Indian
Chakravarthy,30,Indian
Lupichev,30,Russian
Bakikhanov,29,Russian
Chmiel,29,Polish
Durylin,28,Russian
Baweja,27,Indian
Broż,27,Polish
Hanania,27,Arabic
Vyas,26,Indian
Zaantye,25,Indian
Tannous,24,Arabic
Ślusarski,22,Polish
Wojewódzki,22,Polish
Vaze,22,Indian
Wyrzyk,21,Polish
Shamon,21,Arabic
Glezarov,21,Russian
Abboud,21,Arabic
Mansour,21,Arabic
Lallad,20,Indian
Gulevsky,20,Russian
Touma,19,Arabic
Adamczyk,19,Polish
Dubanowski,19,Polish
Zaskanov,18,Russian
Gwozdek,17,Polish
Gribanovsky,17,Russian
Atri,16,Indian
Tijori,16,Indian
Guzenkov,16,Russian
Guirguis,15,Arabic
