Surname,Count,Nationality
Veeranna,1507,Indian
Chahal,1374,Indian
Rakhletzky,797,Russian
Sahai,776,Indian
Gassiy,725,Russian
Mencher,647,Polish
Ruhlyada,324,Russian
Wasem,320,Arabic
Gniewek,304,Polish
Dubatolov,277,Russian
Niemec,263,Polish
Malouf,211,Arabic
Stawski,184,Polish
Golani,173,Indian
Yakushkin,152,Russian
Darevsky,142,Russian
Winogrodzki,127,Polish
Koury,125,Arabic
Atanasyan,122,Russian
Jvirblis,110,Russian
Uppal,101,Indian
Botros,94,Arabic
Pakulski,93,Polish
Rusnak,92,Polish
Kaczka,89,Polish
Pimparkar,87,Indian
Anikushin,81,Russian
Zhohin,74,Russian
Ullal,74,Indian
Ryzhankov,72,Russian
Jupikov,68,Russian
Astrahankin,67,Russian
Esmansky,62,Russian
Tagore,60,Indian
Rahal,54,Arabic
Bhargav,54,Indian
Talari,54,Indian
Sokal,53,Polish
Naifeh,51,Arabic
Muttemwar,49,Indian
Jakushev,46,Russian
Zabek,43,Polish
Mokrinsky,40,Russian
Haladzhan,39,Russian
Nader,38,Arabic
Chlebek,37,Polish
Tannous,36,Arabic
Danyarov,33,Russian
Dubanowski,31,Polish
Wojewódzki,30,Polish
Hanania,29,Arabic
Chmiel,28,Polish
Durylin,27,Russian
Shamon,27,Arabic
Gulevsky,26,Russian
Hadas,26,Indian
Chakravarthy,26,Indian
Malinowski,23,Polish
Abboud,22,Arabic
Glezarov,22,Russian
Winograd,22,Polish
Baweja,22,Indian
Zaantye,22,Indian
Gera,21,Indian
Paul,21,Indian
Vyas,20,Indian
Lupichev,19,Russian
Krakowski,17,Polish
Bakikhanov,17,Russian
Jaskulski,17,Polish
Asfour,17,Arabic
Broż,17,Polish
Yudovich,16,Russian
Touma,16,Arabic
Mansour,16,Arabic
Saliba,15,Arabic
Atri,14,Indian
Guldreih,14,Russian
Mollo,12,Russian
Saksagansky,12,Russian
Thakran,12,Indian
Vaze,12,Indian
Haidurov,12,Russian
Kaluza,12,Polish
Lallad,12,Indian
Najjar,11,Arabic
Wyrzyk,11,Polish
Tijori,11,Indian
Baburin,11,Russian
Adamczyk,11,Polish
Das,11,Indian
Gwozdek,11,Polish
Lokhande,10,Indian
Gribanovsky,10,Russian
Alkov,10,Russian
Pokhlebkin,10,Russian
Said,10,Arabic
Bukoski,10,Polish
Jekulin,9,Russian
Grigorchikov,9,Russian
Kowalski,9,Polish
Halabi,8,Arabic
Horkin,8,Russian
Ślusarski,8,Polish
Grotus,8,Russian
Andreevsky,8,Russian
Gulichev,8,Russian
Majumdar,8,Indian
Wadhawa,8,Indian
Zaskanov,8,Russian
Guirguis,8,Arabic
Stolarz,7,Polish
Maheshwari,7,Indian
Miheev,7,Russian
Gribanov,7,Russian
