Surname,Count,Nationality
Veeranna,1655,Indian
Chahal,1535,Indian
Rakhletzky,908,Russian
Sahai,833,Indian
Mencher,727,Polish
Gassiy,678,Russian
Ruhlyada,407,Russian
Gniewek,357,Polish
Wasem,348,Arabic
Dubatolov,278,Russian
Niemec,277,Polish
Malouf,253,Arabic
Stawski,209,Polish
Golani,206,Indian
Winogrodzki,184,Polish
Darevsky,148,Russian
Yakushkin,146,Russian
Koury,145,Arabic
Jvirblis,134,Russian
Uppal,128,Indian
Pakulski,127,Polish
Kaczka,123,Polish
Pimparkar,123,Indian
Atanasyan,119,Russian
Jupikov,93,Russian
Rusnak,90,Polish
Rahal,85,Arabic
Botros,84,Arabic
Ryzhankov,81,Russian
Anikushin,76,Russian
Bhargav,73,Indian
Esmansky,73,Russian
Ullal,70,Indian
Naifeh,65,Arabic
Zabek,61,Polish
Astrahankin,58,Russian
Nader,57,Arabic
Jakushev,54,Russian
Talari,54,Indian
Sokal,54,Polish
Tagore,52,Indian
Zhohin,52,Russian
Danyarov,48,Russian
Winograd,43,Polish
Muttemwar,40,Indian
Chlebek,40,Polish
Mokrinsky,39,Russian
Hadas,38,Indian
Tannous,36,Arabic
Thakran,35,Indian
Haladzhan,35,Russian
Baweja,34,Indian
Jaskulski,31,Polish
Lupichev,30,Russian
Bakikhanov,29,Russian
Chmiel,28,Polish
Vyas,28,Indian
Zaantye,27,Indian
Durylin,27,Russian
Hanania,26,Arabic
Chakravarthy,25,Indian
Dubanowski,25,Polish
Wojewódzki,24,Polish
Paul,22,Indian
Broż,22,Polish
Touma,22,Arabic
Zaskanov,21,Russian
Ślusarski,21,Polish
Shamon,21,Arabic
Majumdar,21,Indian
Lallad,20,Indian
Mansour,19,Arabic
Vaze,19,Indian
Guirguis,19,Arabic
Guzenkov,18,Russian
Grigorchikov,18,Russian
Glezarov,18,Russian
Alkov,17,Russian
Wyrzyk,16,Polish
Tijori,15,Indian
Abboud,15,Arabic
Gulevsky,15,Russian
Najjar,14,Arabic
Eihe,14,Russian
Das,14,Indian
Yudovich,13,Russian
Gribanovsky,13,Russian
Guldreih,13,Russian
Malinowski,12,Polish
Atri,12,Indian
Tanti,11,Indian
Gribanov,11,Russian
Gera,11,Indian
Asfour,11,Arabic
Mollo,11,Russian
Kathiriya,11,Indian
Haidurov,10,Russian
Saliba,9,Arabic
Adamczyk,9,Polish
Yudkovich,9,Russian
Beh,9,Russian
Gwozdek,9,Polish
Abulmambetoff,9,Russian
Lokhande,9,Indian
Bernard,9,Polish
Jahaev,9,Russian
"Doifode, doiphode",9,Indian
Ślusarczyk,9,Polish
Gomolka,8,Polish
Zhegin,8,Russian
Andreevsky,8,Russian
Kaloshin,8,Russian
Hagavane,8,Indian
Barua,8,Indian
Hughes,8,English
Shalko,8,Russian
Stolarz,8,Polish
Shalabanov,8,Russian
Zheludev,7,Russian
Halabi,7,Arabic
Piontek,7,Polish
Miheev,7,Russian
Andryukov,7,Russian
Adonts,7,Russian
Barnes,7,English
Tchapko,7,Russian
Kaluza,7,Polish
Kurup,6,Indian
Tempalli,6,Indian
Kansal,6,Indian
Yaburov,6,Russian
Clements,6,English
Baburin,6,Russian
Brady,6,English
Buckby,6,English
Foster,6,English
Garretty,6,English
Robustov,6,Russian
Marholenko,6,Russian
Sarkis,6,Arabic
Arian,6,Arabic
Mason,6,English
Saksagansky,6,Russian
Hannant,6,English
Shamoun,6,Arabic
Khanolkar,6,Indian
Ryjko,6,Russian
Assaf,6,Arabic
Krakowski,6,Polish
Twiss,5,English
Horkin,5,Russian
Paling,5,English
Cooper,5,English
Gau,5,Russian
Sadowski,5,Polish
Gulichev,5,Russian
Justice,5,English
Bukoski,5,Polish
Klimek,5,Polish
Attal,5,Indian
Baidukov,5,Russian
Ashley,5,English
George,5,English
Zogby,5,Arabic
Jones,5,English
Hatskevich,5,Russian
Hopperton,5,English
Skipper,5,English
Andruhovich,4,Russian
Górski,4,Polish
Scott,4,English
Plant,4,English
Swarup,4,Indian
Król,4,Polish
Gopalan,4,Indian
Emelianov,4,Russian
Frost,4,English
Budny,4,Polish
Zawisza,4,Polish
Janovsky,4,Russian
Watane,4,Indian
Symonds,4,English
Wild,4,English
Jivotinsky,4,Russian
Awalishwili,4,Russian
Bakaleiko,4,Russian
Dubicki,4,Polish
Mule,4,Indian
Jaskolski,4,Polish
Grosvenor,4,English
Doino,4,Russian
Grotus,4,Russian
Chotai,4,Indian
Jez,4,Polish
Sówka,4,Polish
Peltsman,4,Russian
Gubbins,4,English
Zdunowski,4,Polish
Lezhankin,4,Russian
Lucas,4,English
Bora,4,Indian
Neverovsky,4,Russian
Turkin,4,Russian
Shalhoub,4,Arabic
Rendall,3,English
Faye,3,Indian
Donnolly,3,English
Dolby,3,English
Andrushkevich,3,Russian
Kava,3,Polish
Maslanka,3,Polish
Bestuzhev,3,Russian
Flight,3,English
Sobol,3,Polish
Skelton,3,English
Brenkley,3,English
Samaha,3,Arabic
Adams,3,English
Bukowski,3,Polish
Parekh,3,Indian
Wallis,3,English
Szweda,3,Polish
Easterbrook,3,English
Amari,3,Arabic
Tiwari,3,Indian
Yablontsev,3,Russian
Poplawski,3,Polish
Ingram,3,English
Sokolowski,3,Polish
Tippett,3,English
Zhigalin,3,Russian
Warhadpande,3,Indian
Zhdan,3,Russian
Pokhlebkin,3,Russian
Sierzant,3,Polish
Lines,3,English
Yakhno,3,Russian
Tchekhlakovsky,3,Russian
Drury,3,English
Tsalko,3,Russian
Brumfitt,3,English
Shalavin,3,Russian
Jadkevich,3,Russian
Halymbadzha,3,Russian
Hardwick,3,English
Wazalwar,3,Indian
Hazell,3,English
Love,3,English
Day,3,English
Gaganov,3,Russian
Hadad,3,Arabic
Piatek,3,Polish
Laughton,3,English
Udyavar,3,Indian
Carr,3,English
Hooda,3,Indian
Shipman,3,English
Yambaev,3,Russian
Murtazin,3,Russian
Somerville,3,English
Fairhall,3,English
Jekulin,3,Russian
Janowski,3,Polish
Abadi,3,Arabic
Siripurapu,2,Indian
Richardson,2,English
Swyer,2,English
Bobienski,2,Polish
Yakhimovich,2,Russian
Jeremiah,2,English
Birch,2,English
Meekin,2,English
Avksentiev,2,Russian
Arya,2,Indian
Wargantiwar,2,Indian
Uren,2,English
Godwin,2,English
OBrien,2,English
Priest,2,English
McGwire,2,English
Marek,2,Polish
Yelimeli,2,Indian
Liverovsky,2,Russian
Ader,2,Russian
Baxter,2,English
Dhumale,2,Indian
Vindman,2,Russian
Gulidov,2,Russian
Cavell,2,English
Bossley,2,English
Christian,2,English
Raykantiwar,2,Indian
Dobson,2,English
Paintal,2,Indian
Lord,2,English
Fleet,2,English
Williams,2,English
Zhilov,2,Russian
Costello,2,English
Bryan,2,English
Abramtchuk,2,Russian
Grimshaw,2,English
Lima,2,English
Zate,2,Indian
Adabash,2,Russian
Kosmatka,2,Polish
Stamper,2,English
Qureshi,2,Arabic
Darbyshire,2,English
Schooling,2,English
Hines,2,English
Abrosimov,2,Russian
Martyushev,2,Russian
Sitko,2,Polish
Gadre,2,Indian
Hayton,2,English
Zielinski,2,Polish
Clifford,2,English
Gowda,2,Indian
Baker,2,English
