Surname,Count,Nationality
Veeranna,1486,Indian
Chahal,1464,Indian
Sahai,812,Indian
Rakhletzky,785,Russian
Gassiy,711,Russian
Mencher,634,Polish
Ruhlyada,342,Russian
Dubatolov,326,Russian
Gniewek,319,Polish
Niemec,314,Polish
Wasem,294,Arabic
Malouf,247,Arabic
Golani,202,Indian
Stawski,178,Polish
Winogrodzki,161,Polish
Koury,157,Arabic
Pimparkar,128,Indian
Jvirblis,123,Russian
Uppal,120,Indian
Darevsky,101,Russian
Pakulski,101,Polish
Yakushkin,98,Russian
Jupikov,94,Russian
Botros,93,Arabic
Atanasyan,93,Russian
Rusnak,87,Polish
Kaczka,83,Polish
Zhohin,66,Russian
Bhargav,66,Indian
Ullal,64,Indian
Anikushin,62,Russian
Astrahankin,61,Russian
Naifeh,60,Arabic
Ryzhankov,54,Russian
Muttemwar,54,Indian
Chlebek,50,Polish
Mokrinsky,49,Russian
Esmansky,47,Russian
Jakushev,46,Russian
Talari,45,Indian
Sokal,45,Polish
Rahal,44,Arabic
Zabek,44,Polish
Nader,44,Arabic
Tagore,41,Indian
Hadas,39,Indian
Chmiel,37,Polish
Danyarov,35,Russian
Asfour,34,Arabic
Wojewódzki,30,Polish
Haladzhan,28,Russian
Jaskulski,28,Polish
Gribanovsky,25,Russian
Broż,25,Polish
Saliba,25,Arabic
Thakran,25,Indian
Bakikhanov,24,Russian
Winograd,24,Polish
Dubanowski,23,Polish
Vyas,23,Indian
Grigorchikov,23,Russian
Tannous,22,Arabic
Krakowski,22,Polish
Mansour,21,Arabic
Hanania,21,Arabic
Glezarov,20,Russian
Lupichev,20,Russian
Adamczyk,20,Polish
Shamon,19,Arabic
Wyrzyk,19,Polish
Guldreih,19,Russian
Zaantye,19,Indian
Durylin,18,Russian
Baweja,18,Indian
Ślusarski,17,Polish
Alkov,16,Russian
Saksagansky,16,Russian
Chakravarthy,16,Indian
Yudovich,15,Russian
Lokhande,15,Indian
Najjar,14,Arabic
Abboud,14,Arabic
Vaze,14,Indian
Majumdar,14,Indian
Atri,14,Indian
Gulevsky,13,Russian
Bukoski,13,Polish
Budny,12,Polish
Siripurapu,12,Indian
Udyavar,12,Indian
Zaskanov,12,Russian
Bernard,11,Polish
Gomolka,11,Polish
"Doifode, doiphode",10,Indian
Guirguis,10,Arabic
Das,10,Indian
Zogby,10,Arabic
Guzenkov,10,Russian
Andreevsky,10,Russian
Shalabanov,10,Russian
Tijori,9,Indian
Gera,9,Indian
Touma,9,Arabic
Mollo,9,Russian
Malinowski,9,Polish
Paul,9,Indian
Abulmambetoff,8,Russian
Mule,8,Indian
Lallad,8,Indian
Górski,8,Polish
Gowda,8,Indian
Zdunowski,8,Polish
Halabi,7,Arabic
Pokhlebkin,7,Russian
Jez,7,Polish
Ślązak,7,Polish
Baburin,7,Russian
Eihe,7,Russian
Klimek,7,Polish
Kurup,6,Indian
Grotus,6,Russian
Gopalan,6,Indian
Jadkevich,6,Russian
Shalavin,6,Russian
Kaluza,6,Polish
Gorskov,5,Russian
Sachan,5,Indian
Bora,5,Indian
Kamiński,5,Polish
Sahastrabuddhe,5,Indian
Kathiriya,5,Indian
Maslanka,5,Polish
Gorfunkel,5,Russian
Jekulin,5,Russian
Barua,5,Indian
Sarkis,5,Arabic
Khouri,5,Arabic
Tanti,5,Indian
Getta,5,Russian
Rudawski,5,Polish
Król,5,Polish
Andryukov,5,Russian
Sitko,5,Polish
Andrushkevich,5,Russian
Stolarz,5,Polish
Jaskolski,5,Polish
Gridnev,4,Russian
Tak,4,Indian
Adabash,4,Russian
Gwozdek,4,Polish
Tchekhlakovsky,4,Russian
Swarup,4,Indian
Vakulsky,4,Russian
Beh,4,Russian
Kalb,4,Arabic
Parekh,4,Indian
Warsi,4,Indian
Bakshi,4,Indian
Dubicki,4,Polish
Abylgaziev,4,Russian
Amari,4,Arabic
Maly,4,Polish
Starek,4,Polish
Gukovsky,4,Russian
Hanzhin,4,Russian
Skala,4,Polish
Zheludev,4,Russian
Wadhawa,4,Indian
Dijin,4,Russian
Sówka,4,Polish
Andruhovich,4,Russian
Maroun,4,Arabic
Maheshwari,3,Indian
Piontek,3,Polish
Agadjanyan,3,Russian
Murtazin,3,Russian
Guha,3,Indian
Dhar,3,Indian
Khanolkar,3,Indian
Attal,3,Indian
Filipek,3,Polish
Nudatov,3,Russian
Pazi,3,Russian
Khoury,3,Arabic
Horkin,3,Russian
Bahurin,3,Russian
Pandher,3,Indian
Vaghela,3,Indian
Arya,3,Indian
Hooda,3,Indian
Sen,3,Indian
Marholenko,3,Russian
Robustov,3,Russian
Haidurov,3,Russian
Likhodei,3,Russian
Daher,3,Arabic
Maitra,3,Indian
Gorchakovsky,3,Russian
Kaloshin,3,Russian
Emelianov,3,Russian
Bakaleiko,3,Russian
Cham,3,Arabic
