Name,Soundex,Frequency
Horton,H635,24
Howells,H420,24
Ingham,I525,24
Nicholls,N242,24
Platt,P430,24
Randall,R534,24
Short,S630,24
Stott,S330,24
Swift,S130,24
Walsh,W420,24
Atkins,A325,23
Beaumont,B553,23
Blackburn,B421,23
Bull,B400,23
Faulkner,F425,23
Giles,G420,23
Haigh,H200,23
Higgins,H252,23
Mann,M500,23
Manning,M552,23
Morgans,M625,23
Nelson,N425,23
Osborn,O216,23
Patterson,P362,23
Reeve,R100,23
Sharpe,S610,23
Sims,S520,23
Stewart,S363,23
Waller,W460,23
Woolley,W400,23
Bradshaw,B632,22
Bryant,B653,22
Fuller,F460,22
Goddard,G363,22
Gould,G430,22
Hardman,H635,22
Haworth,H630,22
Horn,H650,22
Johns,J520,22
Law,L000,22
Lister,L236,22
Neal,N400,22
Norman,N655,22
Paul,P400,22
Pritchard,P632,22
Rigby,R210,22
Sanderson,S536,22
Sheppard,S163,22
Stead,S330,22
Thorpe,T610,22
Webber,W160,22
Woodhead,W330,22
Birch,B620,21
Bowden,B350,21
Bray,B600,21
Chamberlain,C516,21
Daniel,D540,21
Davenport,D151,21
Fitzgerald,F326,21
Franklin,F652,21
Gale,G400,21
Gee,G000,21
Gordon,G635,21
Hallam,H450,21
Hanson,H525,21
Holloway,H400,21
Kirby,K610,21
Lawson,L250,21
Morton,M635,21
Norton,N635,21
Peters,P362,21
Pike,P200,21
Simmonds,S553,21
Street,S363,21
Sullivan,S415,21
Weaver,W160,21
Wills,W420,21
Banks,B520,20
Charles,C642,20
Collier,C460,20
Eaton,E350,20
France,F652,20
Goodall,G340,20
Harwood,H630,20
Heywood,H300,20
Latham,L350,20
Lea,L000,20
Mead,M300,20
Moody,M300,20
North,N630,20
Peacock,P220,20
Pickering,P265,20
Pugh,P200,20
Rowley,R400,20
Underwood,U536,20
Whittle,W340,20
Wilkins,W425,20
Armitage,A653,19
Bacon,B250,19
Bradbury,B631,19
Coles,C420,19
Draper,D616,19
Dyson,D250,19
Griffith,G613,19
Heaton,H350,19
Houghton,H235,19
Humphreys,H516,19
Jeffery,J160,19
Knott,K530,19
Massey,M200,19
Morley,M640,19
Nicholas,N242,19
Ogden,O235,19
Peck,P200,19
Pollard,P463,19
Rowland,R453,19
Ryan,R500,19
Smart,S563,19
Snell,S540,19
Wall,W400,19
Walters,W436,19
Whiting,W352,19
Wyatt,W300,19
Arnold,A654,18
Bateman,B355,18
Bryan,B650,18
Connor,C560,18
Crook,C620,18
Davy,D100,18
Duckworth,D263,18
Edmonds,E355,18
Finch,F520,18
Fry,F600,18
Garner,G656,18
Hodson,H325,18
John,J500,18
Johnston,J523,18
Kershaw,K620,18
Masters,M236,18
Mercer,M626,18
Parkin,P625,18
Ratcliffe,R324,18
Rayner,R560,18
Rodgers,R326,18
Rushton,R235,18
Sewell,S400,18
Seymour,S560,18
Starkey,S362,18
Thorn,T650,18
Wallace,W420,18
Warburton,W616,18
Warner,W656,18
Amos,A520,17
Andrew,A536,17
Balls,B420,17
Biggs,B200,17
